ColNames,Class,UnqCNT,NACnt,VarType
indiv_id,integer,3934538,0,Continuous
cust_nb,integer,3934538,0,Continuous
master_memb_id,integer,3934213,0,Continuous
cat_flag,integer,2,0,Categorical
resp_flag,integer,2,0,Categorical
fi_flag,integer,2,0,Categorical
end_date,character,1,0,Categorical
start_date,character,1,0,Categorical
cig_cluster,character,18,0,Continuous
cig_niche,integer,110,417656,Continuous
total_expenditure,numeric,499283,417656,Continuous
avg_income_pop,character,493147,0,Continuous
cig_food,numeric,486312,417656,Continuous
cig_hotels_motels,numeric,380602,417656,Continuous
cig_communications,numeric,451720,417656,Continuous
cig_garden_supplies_services,numeric,367096,417656,Continuous
cig_househols_equipments,numeric,458020,417656,Continuous
household_equipment,numeric,423352,417656,Continuous
cig_womens_wear,numeric,460359,417656,Continuous
cig_mens_wear,numeric,439044,417656,Continuous
cig_childrens_wear,numeric,156688,417656,Continuous
cig_purchase_auto_trucks,numeric,482862,417656,Continuous
cig_gasoline_fuels,numeric,465255,417656,Continuous
cig_maintainence_repair,numeric,421161,417656,Continuous
cig_public_transportation,numeric,446747,417656,Continuous
cig_personal_care,numeric,426032,417656,Continuous
cig_recreation,numeric,478078,417656,Continuous
cig_toys_hobby_materials,numeric,226998,417656,Continuous
cig_computer_equipment,numeric,327996,417656,Continuous
cig_recreation_vehicles,numeric,418002,417656,Continuous
cig_tobacco_products,numeric,429970,417656,Continuous
cig_game_of_chance,numeric,202180,417656,Continuous
cig_retirement_plan,numeric,478166,417656,Continuous
cig_furn_equip,numeric,458020,417656,Continuous
cig_garden,numeric,367096,417656,Continuous
stat_dstnc,character,5,0,Categorical
red,integer,77,0,Continuous
red_air,integer,63,0,Continuous
red_non_air,integer,19,0,Continuous
red_other,integer,48,0,Continuous
red_merchandise,integer,22,0,Continuous
red_gift_card,integer,48,0,Continuous
red_mls,integer,14743,0,Continuous
red_air_mls,integer,7061,0,Continuous
red_non_air_mls,integer,623,0,Continuous
red_other_mls,integer,623,0,Continuous
wb_clicks,integer,2029,0,Continuous
wb_pgs_your_acc,integer,257,0,Continuous
wb_pgs_faq,integer,1,0,Categorical
wb_air_chkout,integer,83,0,Continuous
wb_flt_srch,integer,419,0,Continuous
wb_pgs_promo,integer,89,0,Continuous
wb_pgs_fi,integer,47,0,Continuous
wb_pgs_trvl,integer,260,0,Continuous
wb_pgs_retail,integer,61,0,Continuous
wb_pgs_home,integer,364,0,Continuous
wb_pgs_hha,integer,14,0,Continuous
txns_acc,integer,301,0,Continuous
travel_txn_acc,integer,102,0,Continuous
retail_txn_acc,integer,314,0,Continuous
car_txn_acc,integer,29,0,Continuous
flight_txn_acc,integer,57,0,Continuous
hotel_txn_acc,integer,38,0,Continuous
nb_prtnr,integer,18,0,Continuous
nb_prtnr_sector,integer,5,0,Categorical
nb_prtnr_travel,integer,12,0,Continuous
nb_prtnr_retail,integer,7,0,Categorical
mls,integer,31845,0,Continuous
bonus_mls,integer,28364,0,Continuous
retail_mls,integer,5944,0,Continuous
hha_mls,integer,3,0,Categorical
esso_mls,integer,2318,0,Continuous
travel_mls,integer,31138,0,Continuous
ac_mls,integer,25922,0,Continuous
car_mls,integer,72,0,Continuous
hotel_mls,integer,6489,0,Continuous
retail_enrol_flag,integer,1,0,Categorical
